customer_id,age,gender,monthly_charges,total_charges,tenure_months,contract_type,payment_method,internet_service,phone_service,multiple_lines,online_security,tech_support,streaming_tv,paperless_billing,senior_citizen,partner,dependents,churn
CUST_000001,52.45071229516849,f,76.462556264824,N/A,7.0,monthly,Bank transfer,No,no,Yes,No,No internet service,no,Yes,0,Yes,yes,Y
CUST_000002,,MALE,29.282670161317775,485.08,16.0,One year,Credit card,dsl,Y,yes,no,no,yes,N,1,no,No,0
CUST_000003,54.715328071510385,f,57.80740655095076,837.94,16.0,One year,Credit card,dsl,Y,Yes,No internet service,No,No,no,1,no,yes,Yes
CUST_000004,67.84544784612038,Male,71.02214678383484,2669.77,40.0,One year,credit_card,No,yes,No,,No,yes,yes,0,Yes,Yes,Y
CUST_000005,41.48769937914996,Male,68.67669032645009,838.83,12.0,monthly,Electronic check,none,no,No,No,No internet service,No,no,No,Yes,No,0
CUST_000006,41.487945645762295,FEMALE,118.86067327960993,N/A,35.0,Month-to-month,Electronic check,Fiber optic,Y,Yes,Yes,Yes,Yes,Yes,1,Yes,no,1
CUST_000007,68.68819223261087,Male,71.99600049135815,1407.74,21.0,One year,Electronic check,DSL,0,,yes,No,Yes,Yes,0,No,No,1
CUST_000008,-56.51152093729363,f,44.918908063159805,2064.79,50.0,Two year,bank_transfer,dsl,N,No,No,yes,No internet service,no,No,No,no,No
CUST_000009,37.95788421097572,Female,63.09071505821854,2837.55,43.0,Month-to-month,Electronic check,Fiber optic,No,No phone service,No internet service,yes,Yes,yes,0,Yes,Yes,no
CUST_000010,53.13840065378947,m,29.47507333067096,506.29,17.0,Two year,Electronic check,dsl,No,No phone service,No,No,no,yes,1,Yes,No,Yes
CUST_000011,38.04873460781307,m,63.38800501406478,2059.8,32.0,Month-to-month,bank_transfer,No,no,yes,Yes,No,no,Y,1,Yes,no,no
CUST_000012,38.01405369644615,FEMALE,48.338878859984824,1898.41,41.0,One year,bank_transfer,Fiber optic,yes,No phone service,no,No internet service,No,No,0,No,yes,Yes
CUST_000013,48.629434073490515,F,83.30780551120324,477.65,6.0,2-year,credit_card,none,yes,No phone service,yes,no,yes,Yes,1,No,yes,N
CUST_000014,16.300796330133032,m,54.0091945080893,1373.53,27.0,1-year,Mailed check,none,Y,,No internet service,No internet service,no,yes,0,no,no,No
CUST_000015,19.126232512304508,m,62.664681684095065,1280.65,20.0,One year,bank_transfer,fiber,0,,yes,no,No,N,Yes,yes,yes,No
CUST_000016,36.56568706138541,Male,52.288843171911935,1275.71,25.0,monthly,Bank transfer,DSL,1,no,yes,yes,yes,Yes,No,no,yes,N
CUST_000017,29.807533194983645,Male,99.77702703706663,6828.43,,2-year,Electronic check,DSL,no,no,,no,Yes,No,0,yes,No,Yes
CUST_000018,49.71370998892911,f,58.57514467764177,477.84,9.0,monthly,Mailed check,dsl,1,,yes,No internet service,No,N,1,yes,yes,yes
CUST_000019,31.379638867181832,FEMALE,101.65114086958404,5864.75,53.0,Month-to-month,Credit card,DSL,No,no,No,No,yes,Yes,1,yes,No,Yes
CUST_000020,23.815444479970623,F,81.28303524236533,4854.77,61.0,monthly,credit_card,fiber,N,,No,no,No internet service,yes,Yes,no,Yes,No
CUST_000021,66.98473153382331,FEMALE,74.64133454670772,2692.64,38.0,2-year,Mailed check,none,Y,no,no,No internet service,No internet service,Y,No,No,yes,1
CUST_000022,41.61335549270196,M,72.3746629463504,234.4,3.0,2-year,bank_transfer,Fiber optic,N,No,Yes,yes,no,no,0,No,Yes,no
CUST_000023,46.012923070318855,MALE,72.87594596432503,5111.04,70.0,One year,Electronic check,Fiber optic,1,,No internet service,,yes,N,1,No,yes,Y
CUST_000024,23.628777206798148,F,26.4465484130878,1491.64,164.65916837902597,Two year,Electronic check,none,Y,yes,No,no,No internet service,no,0,No,no,no
CUST_000025,36.83425913212226,F,59.42233211698487,58.02,1.0,One year,Electronic check,No,Yes,yes,yes,yes,no,yes,1,no,no,No
CUST_000026,46.663838845647994,Female,825.6019799779201,6146.91,70.0,Month-to-month,Mailed check,none,N,,Yes,yes,No,yes,Yes,Yes,Yes,no
CUST_000027,27.735096338665457,FEMALE,64.02205633051788,,45.0,monthly,Electronic check,Fiber optic,no,No phone service,No internet service,Yes,No,N,No,yes,Yes,yes
CUST_000028,50.63547027518508,f,36.896203063928496,1653.25,47.0,Two year,bank_transfer,dsl,N,yes,No internet service,,yes,No,Yes,No,Yes,yes
CUST_000029,35.99041965121793,Female,63.951910988450614,1647.36,26.0,1-year,Mailed check,fiber,N,No phone service,No internet service,no,yes,N,Yes,No,no,1
CUST_000030,40.62459375310085,F,99.08211032510982,1387.31,14.0,2-year,Electronic check,none,Y,yes,No internet service,No internet service,yes,Yes,1,no,Yes,Yes
CUST_000031,35.97440081655905,F,89.93783431069438,4660.87,54.0,Two year,Credit card,No,No,Yes,no,no,yes,No,0,yes,no,0
CUST_000032,72.78417276763406,F,-63.759919812679364,4764.63,71.0,  Two year  ,Credit card,dsl,1,Yes,No internet service,no,No internet service,no,No,No,Yes,no
CUST_000033,44.79754162893099,m,84.02898554116173,3479.24,46.0,  One year  ,Bank transfer,none,Yes,,Yes,,No internet service,Yes,0,Yes,No,no
CUST_000034,,FEMALE,57.669859592638964,N/A,31.0,1-year,Electronic check,dsl,N,yes,No,yes,no,No,0,No,No,No
CUST_000035,57.338173681547836,MALE,30.92256826346562,1754.2,59.0,2-year,Electronic check,none,0,No,Yes,yes,No internet service,no,0,yes,yes,Yes
CUST_000036,26.687345250434667,MALE,46.51068023740891,1237.03,29.0,Month-to-month,Mailed check,dsl,1,No phone service,yes,yes,No,Yes,1,Yes,No,Yes
CUST_000037,48.132953925071334,Female,96.25777537016396,1723.38,17.0,Month-to-month,Mailed check,DSL,0,yes,,yes,no,Y,0,no,Yes,no
CUST_000038,15.604948141803366,F,59.52013836341391,794.13,14.0,Two year,Electronic check,dsl,1,,no,,No internet service,N,1,Yes,No,Y
CUST_000039,25.077209266523543,MALE,60.13232041249964,2181.78,36.0,Two year,Bank transfer,DSL,0,No phone service,no,No internet service,yes,N,1,yes,No,no
CUST_000040,47.952918538036855,Male,59.00323607450239,3761.09,58.0,monthly,Electronic check,Fiber optic,No,no,yes,No,No internet service,N,1,yes,Yes,no
CUST_000041,56.07699869993116,FEMALE,103.08273179146013,2286.46,,1-year,bank_transfer,DSL,yes,,Yes,Yes,Yes,Y,Yes,Yes,No,no
CUST_000042,47.57052421784956,MALE,97.51917830724126,5812.09,63.0,2-year,Mailed check,dsl,Yes,yes,Yes,yes,no,No,1,No,Yes,yes
CUST_000043,43.265275764176394,f,109.37560466896268,2586.15,25.0,Two year,Electronic check,fiber,Yes,No,yes,yes,No internet service,yes,0,yes,No,N
CUST_000044,40.48344456616067,FEMALE,61.819095791998976,3456.21,59.0,monthly,Mailed check,fiber,0,no,,Yes,No internet service,Yes,No,Yes,Yes,Yes
CUST_000045,22.822170144488588,f,70.9124897749419,2466.85,32.0,1-year,Electronic check,Fiber optic,0,,No internet service,yes,No,No,0,yes,no,N
CUST_000046,34.20233687407937,MALE,34.66714901158418,662.38,18.0,  2-year  ,credit_card,dsl,0,yes,No internet service,No,yes,yes,0,No,no,yes
CUST_000047,38.09041843560319,Male,94.53868852236549,3444.47,37.0,Month-to-month,Mailed check,DSL,1,Yes,No,no,yes,N,Yes,No,yes,Y
CUST_000048,60.856833393283736,f,41.6444089746413,1187.6,26.0,monthly,Bank transfer,fiber,Y,yes,Yes,Yes,No,N,0,Yes,No,0
CUST_000049,50.15427434352692,m,69.33551127525259,669.16,9.0,1-year,credit_card,none,N,Yes,Yes,No internet service,No,N,0,no,yes,No
CUST_000050,18.55439766955899,MALE,43.053949447343115,2712.4,,monthly,bank_transfer,No,yes,Yes,yes,Yes,Yes,yes,0,no,Yes,1
CUST_000051,49.86125954092193,m,53.22266346522608,3788.45,72.0,Two year,Electronic check,dsl,0,,yes,No,no,Yes,0,No,no,Y
CUST_000052,39.22376579375525,MALE,48.254751379005995,1061.47,20.0,One year,bank_transfer,none,Y,yes,No internet service,,yes,Yes,0,no,Yes,Yes
CUST_000053,34.84616999541062,M,52.84249478648364,3052.5,54.0,Month-to-month,Mailed check,none,no,yes,Yes,No internet service,No,yes,Yes,No,yes,No
CUST_000054,54.175144332613016,M,54.217545937020425,1594.33,30.0,Two year,credit_card,dsl,No,Yes,Yes,no,No,no,1,no,Yes,N
CUST_000055,60.46499283743926,M,54.03462410149846,2729.35,53.0,Two year,bank_transfer,No,No,No phone service,no,yes,no,N,1,No,Yes,Y
CUST_000056,58.96920178674298,f,81.66667823560614,5615.58,63.0,1-year,Bank transfer,fiber,Y,no,No,Yes,No,No,Yes,yes,Yes,Yes
CUST_000057,32.411737151660425,m,42.9027441387496,439.35,11.0,monthly,Mailed check,No,1,No,No,No internet service,Yes,Yes,0,Yes,Yes,1
CUST_000058,40.36181436223178,m,69.41082854027734,2169.89,31.0,Month-to-month,credit_card,Fiber optic,No,yes,No internet service,Yes,no,yes,1,Yes,no,0
CUST_000059,49.96895147105346,m,89.35918304611117,4381.1,49.0,Two year,bank_transfer,DSL,N,no,,no,Yes,no,1,no,Yes,0
CUST_000060,59.63317690683539,Male,54.73607270973208,952.65,19.0,1-year,credit_card,DSL,No,no,Yes,Yes,No internet service,Y,1,Yes,Yes,1
CUST_000061,37.81238643232065,m,50.641622185047964,575.52,12.0,Month-to-month,credit_card,none,N,No phone service,no,No internet service,yes,yes,1,no,no,Y
CUST_000062,42.215115350042744,Male,60.389507496394984,922.97,15.0,monthly,bank_transfer,fiber,no,no,Yes,No,No,no,0,No,Yes,No
CUST_000063,-28.404975389909577,M,88.5945041672142,2758.94,31.0,Two year,Credit card,No,0,yes,yes,,no,Y,0,yes,Yes,No
CUST_000064,27.056900638789937,M,644.1014816616416,2807.13,43.0,2-year,Electronic check,none,yes,,No internet service,No internet service,Yes,no,1,Yes,yes,Y
CUST_000065,57.18788733591297,f,54.37571410784803,1937.93,,Two year,Mailed check,dsl,Yes,,,Yes,yes,Yes,0,yes,no,yes
CUST_000066,65.34360042856234,MALE,74.67753302376079,2381.54,29.0,Two year,Mailed check,none,Y,no,No,no,yes,yes,1,Yes,No,Y
CUST_000067,43.91984817629499,M,42.95415700327153,1064.36,26.0,Month-to-month,Mailed check,dsl,Y,yes,Yes,yes,No,Y,0,No,Yes,N
CUST_000068,60.052993468380365,MALE,78.62719020885896,153.15,2.0,Month-to-month,credit_card,dsl,N,yes,,yes,yes,no,Yes,Yes,yes,Y
CUST_000069,50.424540375714514,MALE,73.17214615403535,1122.1,15.0,Month-to-month,bank_transfer,Fiber optic,no,Yes,No internet service,no,No,Y,1,Yes,no,Y
CUST_000070,35.323203680923136,FEMALE,58.84383057722232,$235.38,4.0,Month-to-month,Electronic check,Fiber optic,no,No phone service,No,Yes,No internet service,No,1,No,Yes,yes
CUST_000071,50.42093408262621,f,48.22828403105538,2623.1,50.0,1-year,Bank transfer,dsl,1,No,Yes,,No,yes,0,no,No,no
CUST_000072,,F,47.26638155433085,1815.24,38.0,One year,Mailed check,fiber,Yes,Yes,no,no,Yes,Yes,Yes,no,Yes,No
CUST_000073,44.46260941335073,F,75.69634672691821,1637.81,23.0,1-year,bank_transfer,Fiber optic,0,No,No internet service,Yes,yes,Y,No,No,yes,N
CUST_000074,68.46965483721009,Female,89.57961004978124,5713.65,59.0,Two year,Electronic check,Fiber optic,yes,yes,Yes,No internet service,yes,N,Yes,no,no,Yes
